id	name	author	time	style	description
1	创世记	摩西	1450-1410年 	叙事	意思是"某物的开始或起源"，创世记是圣经的第一卷书，记载了创造、人类的堕落和以色列民族的早期。
2	出埃及记	摩西	公元前1450-1410年	叙事	上帝任命摩西带领以色列人脱离埃及的奴役，前往应许之地迦南，在前往西奈山的路上与他们建立了特殊的关系。
3	利未记	摩西	公元前1445-1444年	律法	上帝给以色列人生活的规则和指示，让他们在他面前圣洁。
4	民数记	摩西	公元前1450-1410年	叙事	出埃及记的续集，民数记的名字来自以色列人在旷野中历经四十年的两次人口普查（或"编号"）。
5	申命记	摩西	公元前1407-1406年	叙事	摩西在他去世前不久向以色列人发表的告别演说，申命记重述了上帝的应许，并发布了在应许之地服从他的指示。
6	约书亚记	约书亚可能还有非尼哈	公元前1405-1383年	叙事	一本征服之书，约书亚记述了以色列人通过信仰和行动进入并最终占领应许之地。
7	士师记	可能是撒母耳	公元前1086-1004年	叙事	以色列进入罪恶的轮回，遭受失败和压迫，只为呼求上帝的拯救，上帝派领导人（称为"士师"）来帮助他们。
8	路得记	未知	公元前1375-1050年	叙事	发生在以色列历史上最黑暗的日子里，路得跟随两个寡妇的旅程，她们失去了一切，但通过上帝找到了希望。
9	撒母耳记上	撒母耳, 拿单 & 迦得	公元前930年	叙事	以色列拒绝上帝拣选的领袖撒母耳（法官），不顾上帝的警告要求立王。
10	撒母耳记下	未知	公元前930年	叙事	大卫王的生活和事业，他征服了以色列的敌人，使王国的规模扩大了一倍，但并非没有失败。
11	列王纪上	未知	公元前560-538年	叙事	以色列在所罗门王统治下享有和平与繁荣的时期，但后来在罗波安（他的儿子）登上王位后分裂成两半。
12	列王纪下	未知	公元前560-538年	叙事	以色列和犹大的君王无视上帝和他的先知，最终沦为侵略国家的俘虏，被放逐到外国。
13	历代志上	以斯拉	公元前430年	叙事	写来鼓励从巴比伦流放归来的人们，历代志上回顾了以色列的历史和家谱，强调了大卫和未来的弥赛亚国王的精神意义。
14	历代志下	以斯拉	公元前430年	叙事	前书的延续，历代志下着重于以色列的诸王，从所罗门王和圣殿的建造，到随后的分裂、流放和从囚禁中归来。
15	以斯拉记	以斯拉	公元前450年	叙事	实现神的应许，以色列人七十年后从流放归来，重建圣殿。
16	尼希米	尼希米	公元前445-432年	叙事	尽管遭到当地反对，尼希米还是从流放中返回耶路撒冷，在短短五十二天内召集人民重建城墙和城门。
17	以斯帖记	未知	公元前483-471年	叙事	发生在以色列流亡期间，以斯帖是一位波斯国王的犹太女王，她代表她的人民说情，将他们从种族灭绝阴谋中拯救出来。
18	约伯记	可能是约伯	公元前2100-1800年	诗歌	一个名叫约伯的义人，虽然失去了一切，受了很多苦，但对上帝仍然忠心，蒙福很多。
19	诗篇	大卫、亚萨、可拉、所罗门、希幔、伊森和摩西的儿子	公元前1440-586年	诗歌	150首敬拜和赞美上帝的诗歌合集，其中包括弥赛亚即将来临的预言。
20	箴言	所罗门,亚古珥和利慕伊勒王	公元前970-930年	智慧文学	箴言书包含上帝神圣的智慧，涵盖生活各个领域的各种主题。
21	传道书	所罗门	公元前935年	智慧文学	所罗门对人生的分析，没有神就没有意义和空洞。
22	雅歌	所罗门	公元前970-930年	诗歌	一首热情而温和的夫妻之间的爱之歌，象征着上帝与我们的关系。
23	以赛亚书	以赛亚	公元前700-681年	预言	大先知书的第一卷，以赛亚书包含上帝即将来临的审判的警告和关于弥赛亚的详细预言。
24	耶利米书	耶利米	公元前627-586年	预言	被称为哭泣的先知，耶利米在即将到来的巴比伦被掳之前热情地恳求人们悔改，但被忽视了。
25	哀歌	耶利米	公元前586年	诗歌与预言	哀歌是一本悲伤的书，反映了耶路撒冷的毁灭和以色列的俘虏。
26	以西结书	以西结	公元前571年	预言	上帝呼召以西结为住在巴比伦的俘虏传讲审判和拯救的信息。
27	但以理书	但以理	公元前535年	叙事与预言	像以西结一样，但以理被囚禁到巴比伦，并在国王的宫廷中服务时收到了先知的异象。
28	何西阿书	何西阿	公元前715年	预言	小先知书的第一本书，何西阿是一个悲惨的爱情故事，展示了上帝对他的子民，尽管他们不忠心的永无止境的爱。
29	约珥书	约珥	公元前835-796年	预言	约珥警告人们在审判临到他们之前要悔改并转向上帝。
30	阿摩司书	阿摩司	公元前760-750年	预言	一位名叫阿摩司的牧羊人向北方王国说预言，北方王国在繁荣时期变得自给自足，对上帝漠不关心。
31	俄巴底亚书	俄巴底亚	公元前627-586年	预言	只有一章，俄巴底亚展示了上帝对他的子民的持续保护和即将对以东国的审判，以东国在巴比伦掠夺耶路撒冷期间漠不关心。
32	约拿书	约拿	公元前785-760年	叙事	一个不情愿的先知，约拿被上帝派到尼尼微，但拒绝并在一条巨鱼的肚子里了解到它的徒劳。
33	弥迦书	弥迦	公元前742-687年	预言	弥迦警告即将到来的审判，最终将流放民族，并包括弥赛亚的一些最明确的预言。
34	那鸿书	那鸿	公元前663-654年	预言	那鸿是第二位被派往尼尼微（约拿是第一位）的先知，宣讲上帝对亚述城市和帝国的审判。
35	哈巴谷书	哈巴谷	公元前612-589年	预言	上帝回答哈巴谷对这片土地上的邪恶和不公正的抱怨。
36	西番雅书	西番雅	公元前640-621年	预言	写在犹大（以色列南部王国）被巴比伦征服之前不久，西番雅警告人民和周围的国家，耶和华的日子临近了。
37	哈该书	哈该	公元前520年	预言	写在巴比伦流放之后，重建耶路撒冷圣殿的工作由于反对和精神冷漠而停止，所以哈该激励人们完成。
38	撒迦利亚书	撒迦利亚	公元前520-480年	预言	撒迦利亚在被掳70年后与哈该一起服事，鼓励余民回归上帝。
39	玛拉基书	玛拉基	公元前430年	预言	旧约的最后一卷书，玛拉基书是上帝对一个继续不服从他的国家的爱的美丽表达。
40	马太福音	马太	公元60-65年	福音	新约的第一卷书，马太福音主要是为犹太人而写的，并引用了许多由耶稣应验的旧约预言。
41	马可福音	马可	公元55-65年	福音	马可是最短的福音书，它强调耶稣的仆人身份和奇迹。
42	路加福音	路加	公元60年	福音	与其他福音书作者不同，路加是一个外邦人，他为犹太信仰以外的人写下了耶稣生平的记述。
43	约翰福音	约翰	公元85-90年	福音	四福音书的最后一部，约翰是耶稣事工的目击者记述，重点关注围绕基督生平、死亡和复活的事件的更深层含义。
44	使徒行传	路加	公元63-70年	历史	早期教会的历史叙述，它被圣灵赋予能力传播好消息。
45	罗马书	保罗	公元70	书信	一封写给保罗计划访问的罗马信徒的书信（因此得名），罗马书为通过耶稣的信仰奠定了神学基础。
46	哥林多前书	保罗	公元55年	书信	保罗写给哥林多信徒的两封信中的第一封，哥林多前书是为了回应当地教会面临的分裂和问题。
47	哥林多后书	保罗	公元55-57年	书信	保罗写给哥林多教会的第二封也是最后一封信，哥林多前书处理了那里信徒面临的持续问题，并警告假教师。
48	加拉太书	保罗	公元49年	书信	保罗写给加拉太教会的一封信，这本书是一个基础性的研究，它解决了犹太律法主义的问题以及在耶稣身上发现的完全救恩。
49	以弗所书	保罗	公元60年	书信	在保罗第一次被监禁期间，写给以弗所教会的以弗所书涵盖了各种主题，包括恩典的恩赐、爱以及如何作为耶稣富有成效的跟随者而行。
50	腓立比书	保罗	公元61年	书信	保罗写给腓立比教会的一封鼓励信，解释了信徒要经历主的喜乐所必须具备的态度和观点。
51	歌罗西书	保罗	公元60年	书信	在这封信中，保罗驳斥了某些阻碍歌罗西教会的错误教导，重申了耶稣基督的神性和优越性。
52	帖撒罗尼迦前书	保罗	公元51年	书信	保罗写给帖撒罗尼迦信徒的两封信中的第一封，是为了鼓励和加强教会，强调通过信、望和爱过圣洁生活的原则。
53	帖撒罗尼迦后书	保罗	公元51年	书信	一封对受迫害的帖撒罗尼迦教会的后续鼓励信，保罗重申了耶稣的第二次降临以及在那次事件之前的事情。
54	提摩太前书	保罗	公元54年	书信	保罗写给一位名叫提摩太的年轻牧师的信，为今天仍然适用的教会领导提供了指导和重要原则。
55	提摩太后书	保罗	公元67年	书信	写给提摩太的两封信中的第二封，这本书可能是保罗最后一封按时间顺序排列的书信，敦促他的门徒对耶稣保持坚强和忠诚。
56	提多书	保罗	公元65年	书信	保罗给提多的一封指导信，以应对他在克里特岛上的教会领导所面临的挑战。
57	腓利门	保罗	公元60年	书信	这本书只有一章，是保罗写给腓利门的一封简短而深刻的信，请求宽恕一个名叫阿尼西母的逃跑奴隶。
58	希伯来书	未知	公元68年	书信	一封信，敦促犹太信徒不要回到他们以前的传统，总结圣经的关键人物和事件，强调通过耶稣得救的希望。
59	雅各书	雅各 (耶稣的同父异母兄弟)	公元49年	书信	来自雅各的一封强硬的信，鼓励信徒有真正的信仰，强调结果。
60	彼得前书	彼得	公元65年	书信	彼得第一封书信的重点是迫害，为生活在罗马帝国受压迫的少数群体的基督徒分享鼓舞人心的安慰话语。
61	彼得后书	彼得	公元66年	书信	彼得的第二封信警告假教师，并重申重要的属灵真理。
62	约翰一书	约翰	公元90-95年	书信	写来反对异端教义，约翰的第一封信呼应了福音，鼓励基督徒彼此相爱，遵守耶稣的命令。
63	约翰二书	约翰	公元90-95年	书信	约翰写给"被选中的女士"的一封简短的信，敦促信徒彼此相爱，提防错误的教义。
64	约翰三书	约翰	公元90-95年	书信	圣经中最短的一本书，约翰三书称赞该犹和德米特鲁伊的忠心服务。
65	犹大书	犹大 (耶稣的同父异母兄弟)	公元65年	书信	一封来自犹大的信，旨在解决错误的教义并敦促基督徒捍卫福音的真理。
66	启示录	约翰	公元95年	启示录	写于约翰在拔摩岛被监禁期间，启示录是一本世界末日的书，其中包含对精神领域和耶稣返回地球的预言。